service_request_id,service_code,service_notice,requested_datetime,text,agency_responsible,service_name,lat,long,media_url
1m8th7r76qre7trep4r5,2806,2019-07-04T11:53:39+03:00,2019-07-10T15:30:47+03:00,"4 standardivastauksen jälkeen voisitteko nyt oikeasti kertoa mitä työmaan kuriinlaittamiselle on tehty tän viikon aikana kun sama jalkakäytävän ja suojateiden tukkiminen nosturilla ja lippusiimalla vai jatkuu päivittäin!",Kaupunkiympäristö,City environment,60.1832883,24.9439189,https://asiointi.hel.fi/palautews/rest/v1/attachment/2887tphg3slrogiomdq5.JPG
14fbeedq5d3mba96tvcs,2806,2019-10-16T11:45:45+03:00,2019-10-17T10:55:02+03:00,"5m ennen suojatietä pitäisi olla tyhjänä ",Kaupunkiympäristö,City environment,60.1891997,24.9588689,https://asiointi.hel.fi/palautews/rest/v1/attachment/28fa7niohuju20853mi1.JPG
25sb6ajc7d0qfgs754if,2809,2020-05-06T07:05:41+03:00,2020-06-01T18:00:02+03:00,"6.5 kaikki Aurinkolahden rannan roskikset aivan täynnä. Tyhjennysväliä pitäisi tihentää kun paljon ihmisiä liikkeellä.",Kaupunkiympäristö,General and other feedback,60.2029665,25.160879,
nsrnudo2r738o6sajpnd,2806,2020-02-04T10:39:40+02:00,2020-03-10T07:55:08+02:00,"60 minuutin kiekkopaikkoja osoittava merkki on liian lähellä suhteessa liikenteenjakajaan. Jos parkkeeraisi heti liikennemerkin jälkeen, pahimmassa tapauksessa tienkäyttäjät joutuvat kiertämään jakajan väärältä puolelta.",Kaupunkiympäristö,City environment,60.2458914,24.9252149,
310i13q8e6t2hn0c0cji,2806,2019-06-15T13:53:43+03:00,2019-06-18T08:52:26+03:00,"69 bussilla kun tulee Jakomäen suunnasta niin myöhästyy helposti junista, kun ei voi jäädä Novan kohdalla pois lastenvaunuilla, koska portaikossa ei ole lastenvaunuille ramppeja.",Kaupunkiympäristö,City environment,60.2510908,25.0107265,
3p7dvm3ugii0lok9mudv,2809,2020-04-08T17:38:10+03:00,2020-04-21T10:10:04+03:00,"9-11 kohdilla on vaarallinen monttu tiessä!",Kaupunkiympäristö,General and other feedback,60.1852288,24.948331,
ek6vtvplq9fnf96g5qbe,2806,2019-09-09T21:37:41+03:00,2019-09-16T09:57:36+03:00,"9.8.2019 Kaupunkiympäristö vastasi katukorjauksista (Kanneltie ja Kantelettarentie): RTA kertoi, että elokuun aikana tulee asfalttiryhmä tekemään päällystyksiä. Kuka ei puhu totta? Käykää toteamassa missä kunnossa kadut ovat. ",Kaupunkiympäristö,City environment,60.2416309,24.8800742,
3usoaj6vulf77t621qlc,2806,2019-08-20T11:44:37+03:00,2019-08-21T14:35:02+03:00,"95% ohikulkevista (jalankulkijoista, pyöräilijöistä ja sähkölaudalla menijöistä) ei käytä näitä liikennevaloja. Automaatiota ja nappuloita tulisi parantaa.",Kaupunkiympäristö,City environment,60.1619926,24.9156446,https://asiointi.hel.fi/palautews/rest/v1/attachment/3c5mai24vqi1gjelmnfk.HEIC
239au0dgiuccivh79ejm,2809,2019-07-26T18:41:51+03:00,2019-07-29T14:30:03+03:00,"A. Wetterin tie/ Linnanrakentajantie risteystä lähestyttäessä ylhäällä olevat kaistaohjaukset puoliksi piilossa oksien seassa. ",Kaupunkiympäristö,General and other feedback,60.1907608,25.0428995,
3g2h82vfgniedgha62sn,2806,2019-09-05T21:15:16+03:00,2019-11-11T08:00:04+02:00,"A. Wetterin tieltä risteykseen tultaessa ovat puun oksien peitossa. Ikuinen mysteeri ettette itse kiinnitä tällaiseen huomiota. ",Kaupunkiympäristö,City environment,60.1922607,25.0398551,
m465jc484cprsgurddn0,2809,2020-01-09T10:44:13+02:00,2020-01-10T10:09:04+02:00,"Aadolfin kadulla viikonloppuisin väärin pysäköityjä autoja.Roska-autot eivät mahdu kääntymään.",Kaupunkiympäristö,General and other feedback,60.1867046,24.9593226,
3rm28cqdfoc3oq451j4h,2806,2020-01-25T11:09:47+02:00,2020-01-27T13:35:42+02:00,"Aallonhalkojan katuroskikset ovat olleet tyhjentämättä jo vaikka kuinka kauan",Kaupunkiympäristö,City environment,60.1812702,24.9793853,
3tdsfa9g9sv05a1nb8a6,2806,2019-10-04T08:47:24+03:00,2019-10-11T13:28:23+03:00,"Aallonhalkojan Nihdin-puoleinen osuus on taas surkeassa kunnossa kävelyväylän osalta. Sieltä puuttuu suojaavat betoniporsaat ja aidat, edessä on työmaa-ajoneuvoja ja sorakasoja ym. roinaa. Lisäksi väylä on melko mutainen. Varsinkin ensin mainitut viat tekevät väylästä kouluun kulkeville lapsille erittäin turvattoman. Harmi, ettei väylää saada pysymään jatkuvasti hyvässä kunnossa. Jossain vaiheessa tilanne oli muutaman viikon parempi, mutta nyt taas lipsuu pahasti.",Kaupunkiympäristö,City environment,,,
5pe0oct0vqt2up93hhd2,2806,2020-05-22T21:26:10+03:00,2020-05-26T09:52:38+03:00,"Aamu- ja iltapäiväruuhkien aikaan suojateiden valojen aikautus ei toimi. Lyhyt ylitysaika aiheuttaa toistuvia vaaratilanteita.",Kaupunkiympäristö,City environment,,,
14s09qm1021u7ed23tjc,2806,2019-09-24T11:06:34+03:00,2019-09-25T12:15:02+03:00,"Aamusta saakka sama kuorma-auto ollut keskellä jalkakäytävää Flemari 21:n edessä, auto näyttää liittyvän taloyhtiön remonttiin. Ei mahduttu lastenvaunujen kanssa ohi, tarkastaja paikalle välittömästi!",Kaupunkiympäristö,City environment,60.1881207,24.9531207,https://asiointi.hel.fi/palautews/rest/v1/attachment/3uc7db60ennb1kha684l.JPG
5ldlj3ol0eqvhlokv7tt,2806,2019-07-17T16:27:15+03:00,2019-07-18T11:10:43+03:00,"äänipalaute liian hiljainen ei erotu ruuhkaliikenteen melussa riittävästi. risteyksen neljäs huonosti toimiva painike.",Kaupunkiympäristö,City environment,60.1761824,24.9504532,
ngo85jac2tnagec1gv67,2806,2019-10-03T22:55:59+03:00,2020-01-03T07:55:01+02:00,"ABC:n edessä olevat tietyömerkit voisi hakea pois, etenkin kun toinen niistä on vaarallisen matalalla. Eivät näytä olevan enää ajankohtaisia. Niin ja pystyttäjälle on syytä muistuttaa, että säädösten mukaan alimman liikennemerkin tai lisäkilven alareunan korkeuden tulee olla jalkakäytävällä tai pyörätiellä 2,0–3,2 metriä, ettei kukaan esimerkiksi kuole hänen ammattitaidottomuuden takia.",Kaupunkiympäristö,City environment,60.185145,24.9666955,https://asiointi.hel.fi/palautews/rest/v1/attachment/34u6l03lmev6lm86mcpf.jpg
2s5fiaa0d6q627u08hd7,2806,2019-07-28T18:50:22+03:00,2019-07-31T10:35:03+03:00,"ABC:n kohdalla",Kaupunkiympäristö,City environment,60.2072086,24.945952,
2gpj6km6pk0h3vo5frn1,2806,2019-10-22T12:56:50+03:00,2019-10-23T13:15:01+03:00,"Abraham Wetterin tie 2:n edessä jalkakäytävä ja pyörätie muistuttavat työmaakuoppaa. Työmaan toiminta on ihan laitonta, eikä pahemmin yllätä, että se on kaupungin omaa käsialaa.",Kaupunkiympäristö,City environment,60.1923774,25.0395488,
2im97t91jufk6cr61mth,2809,2019-08-17T18:57:51+03:00,2019-08-27T08:15:03+03:00,"Abrahaminkatu 8 kaatunut liikennemerkki.  Äkkiä en keksi, mihin tietyöhön liittyy",Kaupunkiympäristö,General and other feedback,60.1652108,24.9238134,https://asiointi.hel.fi/palautews/rest/v1/attachment/1rghh23q0tnba89hp4as.JPG
3r34s643vloti483mkb8,2809,2020-04-29T14:35:49+03:00,2020-05-19T08:55:03+03:00,"Agnetankujalta ja Laivalahdenkaarelta puuttuvat tästä kohdasta pyörätien liikennemerkit, vaikka kaduille on rakennettu erotellut pyörätiet ja jalkakäytävät.",Kaupunkiympäristö,General and other feedback,60.1871816,25.0361543,
1n5b3mf9vr28288i104m,2809,2019-06-13T12:28:04+03:00,2019-06-27T13:20:05+03:00,"Agricolankatu 11",Kaupunkiympäristö,General and other feedback,60.1842251,24.9523333,https://asiointi.hel.fi/palautews/rest/v1/attachment/3ul1vbj434attb74cqsb.jpg
3ajqpad2k46p613tuktv,3058,2020-04-20T09:40:48+03:00,2020-04-22T09:31:38+03:00,"Agricolanpuistikosta on tullut koirien vessa. Pientä nurmialuetta käytetään koirien hiekkalaatikkona, vaikka puistikossa on koirille ihan erikseen osoitettu alue. Nurmelle ei siis voi mennä vilttinsä kanssa päivää paistattelemaan. Auttaisikohan joku kieltokyltti? Puistikossa voisi olla myös toinenkin penkki. ",Kaupunkiympäristö,,60.1849798,24.9544768,
3mb2u3glg44fphmvkm75,2806,2019-09-27T16:18:38+03:00,2019-10-02T08:25:02+03:00,"Aidat löytyy nosturin ympäriltä, mutta ei mitään opastusta mistä tilapäinen jalkakäytävä menee niiden ohi ",Kaupunkiympäristö,City environment,60.1634754,24.9347675,https://asiointi.hel.fi/palautews/rest/v1/attachment/3mobscp8f5khq60os6hl.JPG
23mqrsp251af4ehlru74,2806,2019-09-18T11:12:00+03:00,2020-01-02T12:40:03+02:00,"Aidat sentää löytyy, mutta jalankulkijoiden tilapäinen kulkureitti puuttuu kokonaan",Kaupunkiympäristö,City environment,60.1882468,24.9544362,https://asiointi.hel.fi/palautews/rest/v1/attachment/2gfdhbaoefihli7oc6a7.JPG
26rbbq1vg9kd5se0rd37,2809,2019-08-01T21:07:16+03:00,2019-11-07T13:30:04+02:00,"Aiemman ilmoituksen karttamerkki tuli väärään kohtaan. Kaksi katkeamassa olevaa rungon osaa retkottaa ulkoilutien yli tässä kohtaa.",Kaupunkiympäristö,General and other feedback,60.2101525,25.0233922,https://asiointi.hel.fi/palautews/rest/v1/attachment/2q52k0m3pl1tf0bs61s2.jpg
3fhlskg03vg7jumclc84,3749,2020-04-15T13:39:52+03:00,2020-04-16T14:29:31+03:00,"Aiemmin on kaupungin sivuilla ollut hyvä katukartta (myös osoitehaku- mahdollisuus) kansiossa kartat ja kohtuullisen vähillä klikkauksilla löydettävissä. Mihin se on hävinnyt?",Kaupunkiympäristö,,,,
36unh3u8bvi5hiscfo6j,2806,2020-05-25T15:13:11+03:00,2020-05-28T13:30:35+03:00,"Aiheuttaa hengenvaaraan ohikulkijoille. Kaivuilmoitus KP2001174-2, hakija Telia Finland Oyj, työn suorittaja Lakemar Oy. Aleksis Kiven katu 19b.",Kaupunkiympäristö,City environment,60.1927936,24.9445696,
3e7e5p4ifl38l0k08c5t,2806,2019-10-29T10:20:54+02:00,2019-11-28T08:10:02+02:00,"Aiheuttaa pysäköintiongelmia",Kaupunkiympäristö,City environment,60.2067477,24.9215169,https://asiointi.hel.fi/palautews/rest/v1/attachment/1is4gs6qn0uuaug5icq7.jpg
34ecqai88n2dppkre22g,2806,2020-02-25T10:04:49+02:00,2020-02-27T10:10:01+02:00,"Aika hurja ja vaarallinen reikä tulossa",Kaupunkiympäristö,City environment,60.2348904,25.0097105,https://asiointi.hel.fi/palautews/rest/v1/attachment/2r4ujvkdktti6jq28g0u.jpg
2bskfahi5qb5vfaupqs4,2806,2020-02-03T19:43:59+02:00,2020-02-05T10:18:53+02:00,"Aika iso reikä suoja/pyörätiellä Pitkäsillan vaihtuessa Unioninkadulsi",Kaupunkiympäristö,City environment,,,https://asiointi.hel.fi/palautews/rest/v1/attachment/2er67arvkje4trfqfrua.JPG
2gkmagbau3d8cgha3hud,2806,2020-05-04T20:49:01+03:00,2020-05-08T10:30:03+03:00,"Aika nolosti jätetty viitsimättä viedä vanha liikennemerkin tanko pois, kun uusi on asennettu. Vanha oli sympoiksempi, mut kai vaihtoon jokin syy oli. Vanhan roskaksi muuttuneen metallikepin unohtamiseen ei syytä kuitenkaan pitäisi olla.",Kaupunkiympäristö,City environment,60.2256334,24.9242145,https://asiointi.hel.fi/palautews/rest/v1/attachment/388amc4jup4uhiqem183.jpg
2apopveeq5npictg91lo,2806,2019-11-01T18:04:58+02:00,2019-11-04T09:23:49+02:00,"Aika pimeä kaivanto vie koko jalkakäytävän. ",Kaupunkiympäristö,City environment,60.1688454,24.9659014,https://asiointi.hel.fi/palautews/rest/v1/attachment/31euh4hoqc3km1eegjpc.JPG
3d4slsp6onsi09in0t6t,2809,2019-06-08T12:27:22+03:00,2019-06-11T06:50:03+03:00,"Aika usein on tämä tilanne Ullaksenpuiston grillauspaikalla Kallahden kainalossa",Kaupunkiympäristö,General and other feedback,60.2002299,25.13602,https://asiointi.hel.fi/palautews/rest/v1/attachment/1vip10b3h2lk7qm607ha.jpg
mobmab3k0p11ckdvh625,2806,2019-08-12T20:39:33+03:00,2019-08-15T15:42:30+03:00,"Aika vaarallisen näköisesti kallellaan raitille päin.",Kaupunkiympäristö,City environment,60.1882021,25.0450771,
36rlattbbr5ethltadnn,2806,2020-04-19T17:02:38+03:00,2020-04-23T12:35:02+03:00,"Aimo Tukiaisen puistossa on keinu hajonnut.",Kaupunkiympäristö,City environment,60.1523871,24.8889692,https://asiointi.hel.fi/palautews/rest/v1/attachment/18b4f7jvui88vp5n718p.jpg
ugooh4qfqu4suuop1bie,2809,2019-11-23T21:20:50+02:00,2019-11-25T11:11:25+02:00,"Ainakin 3 katulamppua pimeänä",Kaupunkiympäristö,General and other feedback,60.1903775,25.0337965,
kveun9hsrh84budcv5t1,2809,2019-10-10T20:07:34+03:00,2019-10-11T12:20:14+03:00,"Ainakin kaksi lamppua pimeänä merkitystä kohdassa.",Kaupunkiympäristö,General and other feedback,60.1651608,24.9153843,
kktsfqe9u9tva2hgfb1c,2806,2019-07-18T20:10:56+03:00,2019-07-25T11:00:04+03:00,"Ainakin pari liikennemerkkitolppaa sojottaa ihan minne sattuu Itiksen bussiterminaalin nurkalla.",Kaupunkiympäristö,City environment,60.2080609,25.0734906,https://asiointi.hel.fi/palautews/rest/v1/attachment/2sdvie128njq7grjp1mt.jpg
gmkjhft5f4q0jaon57af,2806,2019-07-05T19:05:00+03:00,2019-07-11T08:40:08+03:00,"aita ei erotu pimeällä, törmäysvaara pyörätiellä, ks. kuva",Kaupunkiympäristö,City environment,60.1819408,24.8499999,
25ob7epke9a47rbmi31f,2806,2019-06-17T11:00:12+03:00,2019-06-19T18:25:03+03:00,"aita ei heijastava, kaivanto ei täysin aidattu, virheellinen liikenteenohjaus",Kaupunkiympäristö,City environment,60.1877192,24.8741609,
22eikd9p65fhmcr1kku5,2806,2019-06-17T10:57:01+03:00,2019-06-19T18:25:03+03:00,"aita ei heijastava, virheellinen liikenteenohjaus, molemmat suunnat",Kaupunkiympäristö,City environment,60.1917529,24.8780931,
3getst7j1bca4rd145sv,2809,2020-03-22T13:07:09+02:00,2020-03-26T14:10:02+02:00,"Aita kaatumassa",Kaupunkiympäristö,General and other feedback,60.1556672,24.9356653,https://asiointi.hel.fi/palautews/rest/v1/attachment/26hd6o5emrhr58h6otc8.jpg
j800m29l6fedukenmu4s,2809,2020-03-30T14:55:45+03:00,2020-04-02T09:20:02+03:00,"Aita on edelleen kojaamatta",Kaupunkiympäristö,General and other feedback,60.1563127,24.9342595,https://asiointi.hel.fi/palautews/rest/v1/attachment/2koeotp56lr8rjh58vov.jpg
2gqrgq5t6ce5bpo5ovcm,2806,2019-08-15T09:05:20+03:00,2019-08-16T10:00:02+03:00,"Aitaa on siirretty suojatien toiselle puolelle eli suojatie johtaa nyt työmaalle, mutta suojateitä ei ole katkaistu tahi siirretty. Johtunee asfaltoinnista.",Kaupunkiympäristö,City environment,60.2156364,24.8883045,https://asiointi.hel.fi/palautews/rest/v1/attachment/3b22b1h3lqb9ae6rf6ef.JPG
27d6ju66mtspn3fpah3g,2806,2019-07-17T13:06:34+03:00,2019-07-30T07:45:03+03:00,"Aitojen sisällä autoja",Kaupunkiympäristö,City environment,60.1716332,24.9540809,https://asiointi.hel.fi/palautews/rest/v1/attachment/3efp6rctg7t0878b1gqs.jpg
ok1brm3n38biq4pncabt,2809,2020-05-15T18:05:15+03:00,2020-05-28T13:31:03+03:00,"Aivan kuin aluepysäköintikielllon merkko olisi poustettu Elisabetk Kochintien alussa?",Kaupunkiympäristö,General and other feedback,60.1988199,24.9544757,https://asiointi.hel.fi/palautews/rest/v1/attachment/3st56l5q3a5h0im04ptu.jpg
14g8ffaongj9l9lfh3fn,2806,2020-05-01T12:46:48+03:00,2020-05-04T13:00:43+03:00,"Aivan luonnonsuojelualueen rajalla maa täynnä muovia. Muovia on selkeästi maan alla järkyttävä määrä ja nyt siitä pieni osa näkyy maan pinnan päällä.",Kaupunkiympäristö,City environment,60.2055219,25.0195118,https://asiointi.hel.fi/palautews/rest/v1/attachment/36qnldjagkdvrap7t28a.JPG
27t9mrk6fk0oksj09li3,2806,2020-04-07T08:05:02+03:00,2020-04-09T09:25:01+03:00,"Ajallinen poysäköintikieltomerkki puuttuu vino p-oaikkojen jälkeen.",Kaupunkiympäristö,City environment,60.1884794,24.9522911,https://asiointi.hel.fi/palautews/rest/v1/attachment/2ch6rmgtrtp213san52q.jpg
3gtqel6rl2n8la7mac9i,2806,2019-11-05T10:38:41+02:00,2019-12-10T07:55:04+02:00,"Ajallinen pysäyttämskielto, ajallinen kiekkopaikan merkki",Kaupunkiympäristö,City environment,60.1640314,24.9338659,https://asiointi.hel.fi/palautews/rest/v1/attachment/28k29cvssc32ql5876rr.jpg
