service_request_id,service_code,service_notice,requested_datetime,text,class,agency_responsible,service_name,lat,long,media_url
3usoaj6vulf77t621qlc,2806,2019-08-20T11:44:37+03:00,2019-08-21T14:35:02+03:00,"95% ohikulkevista (jalankulkijoista, pyöräilijöistä ja sähkölaudalla menijöistä) ei käytä näitä liikennevaloja. Automaatiota ja nappuloita tulisi parantaa.",Kadut,Kaupunkiympäristö,City environment,60.1619926,24.9156446,https://asiointi.hel.fi/palautews/rest/v1/attachment/3c5mai24vqi1gjelmnfk.HEIC
239au0dgiuccivh79ejm,2809,2019-07-26T18:41:51+03:00,2019-07-29T14:30:03+03:00,"A. Wetterin tie/ Linnanrakentajantie risteystä lähestyttäessä ylhäällä olevat kaistaohjaukset puoliksi piilossa oksien seassa. ",Kadut,Kaupunkiympäristö,General and other feedback,60.1907608,25.0428995,
3g2h82vfgniedgha62sn,2806,2019-09-05T21:15:16+03:00,2019-11-11T08:00:04+02:00,"A. Wetterin tieltä risteykseen tultaessa ovat puun oksien peitossa. Ikuinen mysteeri ettette itse kiinnitä tällaiseen huomiota. ",Kadut,Kaupunkiympäristö,City environment,60.1922607,25.0398551,
5pe0oct0vqt2up93hhd2,2806,2020-05-22T21:26:10+03:00,2020-05-26T09:52:38+03:00,"Aamu- ja iltapäiväruuhkien aikaan suojateiden valojen aikautus ei toimi. Lyhyt ylitysaika aiheuttaa toistuvia vaaratilanteita.",Kadut,Kaupunkiympäristö,City environment,,,
14s09qm1021u7ed23tjc,2806,2019-09-24T11:06:34+03:00,2019-09-25T12:15:02+03:00,"Aamusta saakka sama kuorma-auto ollut keskellä jalkakäytävää Flemari 21:n edessä, auto näyttää liittyvän taloyhtiön remonttiin. Ei mahduttu lastenvaunujen kanssa ohi, tarkastaja paikalle välittömästi!",Kadut,Kaupunkiympäristö,City environment,60.1881207,24.9531207,https://asiointi.hel.fi/palautews/rest/v1/attachment/3uc7db60ennb1kha684l.JPG
5ldlj3ol0eqvhlokv7tt,2806,2019-07-17T16:27:15+03:00,2019-07-18T11:10:43+03:00,"äänipalaute liian hiljainen ei erotu ruuhkaliikenteen melussa riittävästi. risteyksen neljäs huonosti toimiva painike.",Kadut,Kaupunkiympäristö,City environment,60.1761824,24.9504532,
2gpj6km6pk0h3vo5frn1,2806,2019-10-22T12:56:50+03:00,2019-10-23T13:15:01+03:00,"Abraham Wetterin tie 2:n edessä jalkakäytävä ja pyörätie muistuttavat työmaakuoppaa. Työmaan toiminta on ihan laitonta, eikä pahemmin yllätä, että se on kaupungin omaa käsialaa.",Kadut,Kaupunkiympäristö,City environment,60.1923774,25.0395488,
2im97t91jufk6cr61mth,2809,2019-08-17T18:57:51+03:00,2019-08-27T08:15:03+03:00,"Abrahaminkatu 8 kaatunut liikennemerkki.  Äkkiä en keksi, mihin tietyöhön liittyy",Kadut,Kaupunkiympäristö,General and other feedback,60.1652108,24.9238134,https://asiointi.hel.fi/palautews/rest/v1/attachment/1rghh23q0tnba89hp4as.JPG
3r34s643vloti483mkb8,2809,2020-04-29T14:35:49+03:00,2020-05-19T08:55:03+03:00,"Agnetankujalta ja Laivalahdenkaarelta puuttuvat tästä kohdasta pyörätien liikennemerkit, vaikka kaduille on rakennettu erotellut pyörätiet ja jalkakäytävät.",Kadut,Kaupunkiympäristö,General and other feedback,60.1871816,25.0361543,
3mb2u3glg44fphmvkm75,2806,2019-09-27T16:18:38+03:00,2019-10-02T08:25:02+03:00,"Aidat löytyy nosturin ympäriltä, mutta ei mitään opastusta mistä tilapäinen jalkakäytävä menee niiden ohi ",Kadut,Kaupunkiympäristö,City environment,60.1634754,24.9347675,https://asiointi.hel.fi/palautews/rest/v1/attachment/3mobscp8f5khq60os6hl.JPG
23mqrsp251af4ehlru74,2806,2019-09-18T11:12:00+03:00,2020-01-02T12:40:03+02:00,"Aidat sentää löytyy, mutta jalankulkijoiden tilapäinen kulkureitti puuttuu kokonaan",Kadut,Kaupunkiympäristö,City environment,60.1882468,24.9544362,https://asiointi.hel.fi/palautews/rest/v1/attachment/2gfdhbaoefihli7oc6a7.JPG
34ecqai88n2dppkre22g,2806,2020-02-25T10:04:49+02:00,2020-02-27T10:10:01+02:00,"Aika hurja ja vaarallinen reikä tulossa",Kadut,Kaupunkiympäristö,City environment,60.2348904,25.0097105,https://asiointi.hel.fi/palautews/rest/v1/attachment/2r4ujvkdktti6jq28g0u.jpg
2bskfahi5qb5vfaupqs4,2806,2020-02-03T19:43:59+02:00,2020-02-05T10:18:53+02:00,"Aika iso reikä suoja/pyörätiellä Pitkäsillan vaihtuessa Unioninkadulsi",Kadut,Kaupunkiympäristö,City environment,,,https://asiointi.hel.fi/palautews/rest/v1/attachment/2er67arvkje4trfqfrua.JPG
2apopveeq5npictg91lo,2806,2019-11-01T18:04:58+02:00,2019-11-04T09:23:49+02:00,"Aika pimeä kaivanto vie koko jalkakäytävän. ",Kadut,Kaupunkiympäristö,City environment,60.1688454,24.9659014,https://asiointi.hel.fi/palautews/rest/v1/attachment/31euh4hoqc3km1eegjpc.JPG
ugooh4qfqu4suuop1bie,2809,2019-11-23T21:20:50+02:00,2019-11-25T11:11:25+02:00,"Ainakin 3 katulamppua pimeänä",Kadut,Kaupunkiympäristö,General and other feedback,60.1903775,25.0337965,
kveun9hsrh84budcv5t1,2809,2019-10-10T20:07:34+03:00,2019-10-11T12:20:14+03:00,"Ainakin kaksi lamppua pimeänä merkitystä kohdassa.",Kadut,Kaupunkiympäristö,General and other feedback,60.1651608,24.9153843,
kktsfqe9u9tva2hgfb1c,2806,2019-07-18T20:10:56+03:00,2019-07-25T11:00:04+03:00,"Ainakin pari liikennemerkkitolppaa sojottaa ihan minne sattuu Itiksen bussiterminaalin nurkalla.",Kadut,Kaupunkiympäristö,City environment,60.2080609,25.0734906,https://asiointi.hel.fi/palautews/rest/v1/attachment/2sdvie128njq7grjp1mt.jpg
25ob7epke9a47rbmi31f,2806,2019-06-17T11:00:12+03:00,2019-06-19T18:25:03+03:00,"aita ei heijastava, kaivanto ei täysin aidattu, virheellinen liikenteenohjaus",Kadut,Kaupunkiympäristö,City environment,60.1877192,24.8741609,
2gqrgq5t6ce5bpo5ovcm,2806,2019-08-15T09:05:20+03:00,2019-08-16T10:00:02+03:00,"Aitaa on siirretty suojatien toiselle puolelle eli suojatie johtaa nyt työmaalle, mutta suojateitä ei ole katkaistu tahi siirretty. Johtunee asfaltoinnista.",Kadut,Kaupunkiympäristö,City environment,60.2156364,24.8883045,https://asiointi.hel.fi/palautews/rest/v1/attachment/3b22b1h3lqb9ae6rf6ef.JPG
27t9mrk6fk0oksj09li3,2806,2020-04-07T08:05:02+03:00,2020-04-09T09:25:01+03:00,"Ajallinen poysäköintikieltomerkki puuttuu vino p-oaikkojen jälkeen.",Kadut,Kaupunkiympäristö,City environment,60.1884794,24.9522911,https://asiointi.hel.fi/palautews/rest/v1/attachment/2ch6rmgtrtp213san52q.jpg
111vb83rbda5d3fh5ijt,2806,2020-02-03T09:44:35+02:00,2020-02-05T12:49:37+02:00,"Ajo Tapulin päiväkotiin  tulisi ohjata Moisiontien kautta, mistä asfaltoitu tie lähes perille asti..",Kadut,Kaupunkiympäristö,City environment,60.2732297,25.0310087,https://asiointi.hel.fi/palautews/rest/v1/attachment/3329bff082qmlv1g6fuf.jpg
5doq6mr1bem9958uhsdi,2809,2019-12-30T20:57:28+02:00,2019-12-31T14:35:23+02:00,"Ajoesteet ennenkuin joku jää auton alle. Ihan järjetöntä, että koulun pihalle pystyy ajamaan autolla. Odotatte vissiin, että joku rekalla tappaa sata lasta. Ette vissiin muuten tajua tehdä asialle mitään. ",Kadut,Kaupunkiympäristö,General and other feedback,60.2671009,25.0545804,https://asiointi.hel.fi/palautews/rest/v1/attachment/2sark3i7eob4ufolq1jo.jpg
3hq80h2ckntqv7ree8l5,2809,2020-02-10T12:07:15+02:00,2020-02-11T13:21:27+02:00,"Ajoesteet suuntimopuistoon. ",Kadut,Kaupunkiympäristö,General and other feedback,60.2754266,25.0386732,https://asiointi.hel.fi/palautews/rest/v1/attachment/cj7qrrad4bm8dln8ah8q.jpg
35sks2ic9vcq566lb5q3,2809,2019-06-19T08:13:17+03:00,2019-06-19T10:45:02+03:00,"Ajoneuvo ja työkone ovat suojatien päällä. Katualue varaus alkaa vasta näiden jälkeen.",Kadut,Kaupunkiympäristö,General and other feedback,60.1674814,24.923628,https://asiointi.hel.fi/palautews/rest/v1/attachment/1gmo7f51pbsipr7qm7dh.jpg
22qh1balmcn451ljdodb,2809,2020-01-12T23:12:32+02:00,2020-01-17T07:20:05+02:00,"Ajopuomi rikki, este puuttuu. Jatkuvaa läpiajoa.",Kadut,Kaupunkiympäristö,General and other feedback,60.2125161,25.0462107,
2gp2qfc5cgcn28ikoi5a,2806,2019-08-06T09:09:45+03:00,2019-08-13T07:20:02+03:00,"Ajoradalla itään päin ajaessa vasemmalta kaistalta on pakollinen kääntymissuunta ylhäällä olevien merkkien mukaan, mutta kadusta maalaukset ovat kuluneet pois. Nyt kaksi kertaa lyhyen ajan sisällä nähnyt kun vasemmalta kaistalta ajetaan suoraan melkein.",Kadut,Kaupunkiympäristö,City environment,60.194586,25.0374964,
3b8ee5lu5gb5jq347d74,2806,2019-12-27T09:12:38+02:00,2020-03-26T13:00:04+02:00,"Ajorata 2 suuntainen, suojatien merkintä epäselvä 3 suojatie merkkiä.",Kadut,Kaupunkiympäristö,City environment,60.1653817,24.9423104,https://asiointi.hel.fi/palautews/rest/v1/attachment/18b6e66vkfbpc708tug3.jpg
3vhiqssmuejm3b9u8f70,2809,2019-06-06T06:20:08+03:00,2019-07-03T16:45:05+03:00,"Ajotien asvaltti sen vaan murenee ja siitä lentänyt pyörätiellä edelleen isoa palasta, jota saa pujotella ettei renkaat puhkea.",Kadut,Kaupunkiympäristö,General and other feedback,60.2060131,24.8972818,
3ugc2qnvrg8bdldk4b6p,2806,2019-06-13T21:40:47+03:00,2019-06-18T08:55:02+03:00,"Aleksin jalkakäytävällä kaivon kannen vieressä pieni syvä kolo. Senaatintorin ratikkapysäkin kohdilla, pankkirakennuksen vieressä.",Kadut,Kaupunkiympäristö,City environment,60.1690109,24.9500677,https://asiointi.hel.fi/palautews/rest/v1/attachment/1106u4k0jn6cr24kuh3e.jpg
2n4tmjrb513v7rk2lag8,2806,2019-12-26T20:09:34+02:00,2020-01-07T10:05:02+02:00,"Aleksis Kiven kadulla on hengenvaarallinen työmaajärjestely. Työmaalla on käytetty aitaa, jota ei varsinkaan pimeällä ei pysty havaitsemaan.",Kadut,Kaupunkiympäristö,City environment,60.1919058,24.9464819,https://asiointi.hel.fi/palautews/rest/v1/attachment/3oj4knoaj9vmv550l4cd.jpg
8ari17rnr4ivg29b1a8k,2806,2019-07-03T09:49:13+03:00,2019-07-04T14:25:03+03:00,"Aleksis Kiven kadun ja Konepajankujan risteyksen lähellä on asvaltti poistettu kadulta ilman minkäänlaista varoitusta liikenteelle. Kaivanto on vaarallinen liikenteelle.",Kadut,Kaupunkiympäristö,City environment,60.1911526,24.9483217,
cvf0kl4fmucnb4eacvd4,2806,2019-12-05T07:46:18+02:00,2019-12-12T07:45:02+02:00,"Aleksis Kiven kadun pohjoispuolella Konepajan kohdalla juuri ennen Traverssikujaa yksi vanha työmaa ja nyt ilmestyneet vielä uudet tuulessa kaatuilevat aitaukset perään. Kierto-ohjeistukset puuttuvat.",Kadut,Kaupunkiympäristö,City environment,60.1923452,24.9454897,
1l1357ujj0re8csi5882,2806,2020-01-16T20:02:36+02:00,2020-01-21T07:15:02+02:00,"Alikuiun pohja kaipaa puhdistusta. Pyörä lähti mutaliirtoon, ja vältin kaatumisen vain täpärästi.",Kadut,Kaupunkiympäristö,City environment,60.237101,25.0420034,
24mpc58efclju8gb8m90,2806,2019-08-13T09:37:56+03:00,2019-09-03T11:45:03+03:00,"Alikulkutunneli on nyt joka sateen jälkeen niin täynnä vettä, että sitä ei voi käyttää. Kävelijät ja pyöräilijät loikkivat tiellä. Alikulkutunneli tulisi muutenkin kunnostaa. Puuttuu esim valot. ",Kadut,Kaupunkiympäristö,City environment,60.1810457,24.8442557,
2q17cn8vadin3dlags23,3026,2020-01-03T09:02:34+02:00,2020-01-09T09:46:13+02:00,"Alikulussa useita risteäviä väyliä , missä pyöräilijät ajavat kovaa vauhtia väärällä kaistalla, koska merkinnät puuttuvat. Toivon kaistoihin merkinnät useampaan kohtaaan kumpi on pyöräilijöille ja kumpi kävelijöille. ",Kadut,Kaupunkiympäristö,,60.2148072,24.8842488,
348nllbvm33sg45u5bd6,2806,2019-11-28T21:35:34+02:00,2019-11-29T14:24:51+02:00,"Alppikadulla on uusi katuvalo, joka on järkyttävän kirkas. Valo häikäisee silmiä, kun olen kotini olohuoneessa ja istun sohvallani. Joudumme pitämään verhot kiinni. Muutkin Alppikadun valot ovat yhtä kirkkaita. Voisiko käyttää himmeämpiä lamppuja? ",Kadut,Kaupunkiympäristö,City environment,60.1857306,24.9462937,https://asiointi.hel.fi/palautews/rest/v1/attachment/3q5vjm50qv7u4iuptim6.jpg
64rj9phk8mnecm4cd0vq,2809,2020-02-10T15:35:06+02:00,2020-02-14T08:20:01+02:00,"Alueella kaksi juuri avattua kohtaa, niin tielle jätetty isoa mursketta. Ne pois tieltä. Varmana puhkoo renkaat vähemmästäkin.",Kadut,Kaupunkiympäristö,General and other feedback,60.2015288,24.9302023,
7pptd4ko0m52clotj3pg,2806,2020-01-29T09:23:33+02:00,2020-02-03T13:20:02+02:00,"Alueellinen nopeusrajoitusmerkki 30 km/h, kaksisuuntaisesta liikeenteestä varoittavamerkki",Kadut,Kaupunkiympäristö,City environment,60.1853786,24.9416085,https://asiointi.hel.fi/palautews/rest/v1/attachment/31s8vg74u7n2prq4v827.jpg
25mvio14c94s266kfc0e,2806,2019-08-21T10:35:06+03:00,2019-08-22T10:08:21+03:00,"Aluekielto alueella on vitsi. P-paikkoja ei ole merkitty kunnolla minnekään! Koska saadaan merkit ja tien varret kuntoon?",Kadut,Kaupunkiympäristö,City environment,,,
3udoou43iba85gmhtbvi,2806,2019-10-22T10:56:31+03:00,2019-10-25T06:55:02+03:00,"Aluekieltomerkki kääntynyt väärinpäin",Kadut,Kaupunkiympäristö,City environment,60.2183628,24.9663912,https://asiointi.hel.fi/palautews/rest/v1/attachment/1aiaa8f8t1029ps0pcc5.jpg
1jmirehad3hum4ssolkd,2806,2019-09-07T20:04:11+03:00,2019-09-09T14:33:50+03:00,"Arhipanpolku 11a kohdalla haljennut kaivonkansi. Mihin näistä voi soittaa? Tällaisella olisi suuri kiire.",Kadut,Kaupunkiympäristö,City environment,60.3033445,24.8699184,https://asiointi.hel.fi/palautews/rest/v1/attachment/20phgp4k2lgiu2su4gua.jpg
2827312ehf7qqvgka2gp,2806,2020-01-22T11:33:33+02:00,2020-01-24T06:50:01+02:00,"Asfaltti murentunut kuopalle asti keskellä kadun kalkua.",Kadut,Kaupunkiympäristö,City environment,60.1613422,24.9411109,
26pohat9g52hic87gkkk,2806,2020-05-22T20:38:14+03:00,2020-05-26T14:10:02+03:00,"Asfaltti revitty kevyen liikenteen väylältä ilman varoitusmerkintöjä. Ohjaa molemmista suunnista pyöräilijät n. 10 cm kaistaleelle ehjää asfalttia. Tässä vauhdit helposti yli 30km/h!",Kadut,Kaupunkiympäristö,City environment,60.2082918,25.1040599,
1bsqc4v9jgbgu5av8t9m,2809,2019-12-05T08:40:30+02:00,2019-12-16T06:55:04+02:00,"Asvaltin paikkausta. Montut umpeen ja tasaiseksi. Ärsyttää illalla kun ei näe, iskeä rengas noihin monttuihin tai kaivonkanteen! Edelleen tätä ei ole korjattu.",Kadut,Kaupunkiympäristö,General and other feedback,60.197292,24.9012393,
1brcphcc1b8tvfbg8mja,2809,2020-01-21T18:28:37+02:00,2020-01-22T13:05:01+02:00,"Autoilijat ovat alkaneet pysäköidä puistoon kun taloyhtiöiden pihoilla on yksityinen pysäköinninvalvonta ",Kadut,Kaupunkiympäristö,General and other feedback,60.2324839,24.9474083,https://asiointi.hel.fi/palautews/rest/v1/attachment/3s974ojr4lbopls6cs49.png
q37ugqg99h48tbbl161c,2809,2020-01-03T11:09:19+02:00,2020-01-07T10:03:52+02:00,"Baanan länsipää on taas muuttumassa parkkipaikaksi ja jalankulun väylät kaventuneet. Voisiko pysäköinninvalvonta käydä paikalla?",Kadut,Kaupunkiympäristö,General and other feedback,60.1655784,24.9232001,https://asiointi.hel.fi/palautews/rest/v1/attachment/shg82p8ijpsl2fpli92t.jpg
1grsl10j0tsafmqvve96,2806,2019-07-29T23:19:54+03:00,2019-07-31T15:09:41+03:00,"Betoniporsas pyörätiellä.",Kadut,Kaupunkiympäristö,City environment,60.1856477,24.9669833,https://asiointi.hel.fi/palautews/rest/v1/attachment/1knkkhsvj4k6hajl4o2q.JPG
3m2vo0cha0ckn46ttns8,2809,2019-09-13T13:57:15+03:00,2019-09-16T08:20:02+03:00,"Bussipysäkin roskakori kääntynyt/käännetty väärälle puolelle tolppaa, kaventaa kelviä turhaan ja aiheuttaa vaaraa kahden pyörän kohdatessa",Kadut,Kaupunkiympäristö,General and other feedback,60.2737283,25.0450501,https://asiointi.hel.fi/palautews/rest/v1/attachment/ope08lrilm6oa0phnuj3.HEIC
1lqc690ueqkr668td0ni,2806,2020-01-12T21:06:22+02:00,2020-01-16T10:50:04+02:00,"Bussipysäkin tolppa vinossa",Kadut,Kaupunkiympäristö,City environment,60.259662,25.0125176,
9gbqd1j2jo0mbjs2j07p,2806,2019-07-21T23:35:06+03:00,2019-07-23T10:03:52+03:00,"Edelleen epäkunnossa liikennevalot, ilmeisesti autoilijoiden valot saatu toimimaan, mutta kevyelle liikenteelle ei pala edelleenkään vihreä etelään päin kulkiessa. Etelänsuuntaan ei myöskään ole minkäänlaista kuulopalautetta, kun vihreät palavat.",Kadut,Kaupunkiympäristö,City environment,60.159252,24.8873794,https://asiointi.hel.fi/palautews/rest/v1/attachment/1lb3k3eqtqb2vdp1s1gq.HEIC
26gnlkv466p4i5mes2tp,2806,2020-02-23T16:38:26+02:00,2020-02-26T10:15:03+02:00,"Finlandia-talon takana pyörätiellä on asfaltti murtunut ja tiehen on muodostunut kuoppa joka kasvaa koko ajan. Kohta on sama jossa tie on painunut alas ja siihen muodostuu aina sateella valtava lammikko. Kuoppa lammikossa on vaarallinen koska sitä ei voi nähdä.",Kadut,Kaupunkiympäristö,City environment,60.1760586,24.9340219,https://asiointi.hel.fi/palautews/rest/v1/attachment/227i52dmmke8p1pg9atc.jpg
129j5biuabirhvh4l92t,2806,2019-09-06T05:47:14+03:00,2020-01-07T08:25:05+02:00,"Haapaniemenkadulla on Sörnäisten rantatieltä näkyvissä jaetun pyörätien ja jalkakäytävän merkki ja Hämeentieltä sama väylä merkitty Destian toimesta jalkakäytäväksi.",Kadut,Kaupunkiympäristö,City environment,60.1807718,24.9589335,
21hap98kfteqpr56e3al,2806,2019-08-16T11:12:24+03:00,2020-01-02T10:50:05+02:00,"Haapaniemenkadun ja Sörnäisten Rantatien risteyksessä väylä vedetty ihan pokkana poikki.",Kadut,Kaupunkiympäristö,City environment,60.180933,24.9579962,https://asiointi.hel.fi/palautews/rest/v1/attachment/35476v72okfbmn8i99ei.jpg
3ofjhhqil7j7a1ahcgo7,2806,2019-07-18T09:35:14+03:00,2019-07-18T15:09:45+03:00,"Hei, Finlandiatalon vieressä kulkeva pyörätie on taas  suljettu tapahtuman takia. Sulkemisesta huolimatta missään ei ole opastusta mitä kautta laillisesti saa pyöräillä keskustan suuntaa. Saako puiston läpi ajaa pyörällä? Asianmukaiset liikennemerkit on syytä olla puistossa, jotta voi laillisesti ajaa pyörällä kulkureitin ollessa suljettuna.",Kadut,Kaupunkiympäristö,City environment,60.1768035,24.9340564,
39n5651lgp1e2hbaer3j,3096,2020-01-06T11:40:39+02:00,2020-01-09T10:09:46+02:00,"Hei, koska muutetaan Kaarelan jäähallin liikennejärjestelyjä. Nyt pyörällä kulkien ei ole turvallista reittiä jäähallin pihalle. ",Kadut,Kaupunkiympäristö,,60.2462002,24.8915588,
eutv8gmi2uvuvn13ljbg,2809,2020-02-19T18:34:08+02:00,2020-02-21T12:48:27+02:00,"Hei, kurvissa autotien yläpuolella jonkinlaisten nauhojen varassa riippuvat lamput ovat sammuksissa ja esimerkiksi pimeyden takia tie vilhonvuorenkujalle on jalankulkijalle vaarallinen kun autot eivät välttämättä näe. ",Kadut,Kaupunkiympäristö,General and other feedback,60.187953,24.9618263,
1m4qv5qe5efedevhmgqp,2809,2019-12-13T13:33:56+02:00,2019-12-18T14:38:22+02:00,"Hei, miksi Mechelininkadun nopeusvalvontakamerat eivät ole käytössä??? Pohjoiseen suuntaa tolppa on jopa huputettu muovilla ja ollut näin jo kuukausia. Saisiko valvonnan koulun lähellä toimimaan? Meklulla ajetaan edelleen ylinopeutta vaikka kaistojen kaventamiselle oletettiin nopeuksien hiljentyvän. Näin ei kuitenkaan käynyt. Kamerat nyt kuntoon, kun muita turvatoimia ei saada aikaiseksi!!!",Kadut,Kaupunkiympäristö,General and other feedback,60.1756728,24.9182039,
10aa92kf494i80qmsfd2,2806,2019-12-14T11:51:46+02:00,2020-01-17T07:25:03+02:00,"Hei, sadevesille ei ole poistotietä ja se jää tielle isoina lammikoina",Kadut,Kaupunkiympäristö,City environment,60.2634409,25.1955534,https://asiointi.hel.fi/palautews/rest/v1/attachment/1rvombg2rf7gcj3f5i7c.jpg
2nruogbqcgb522c46l9s,2806,2019-08-20T11:46:45+03:00,2019-08-21T14:28:20+03:00,"Hei, tämä on vaarallinen risteys. Olen nähnyt useita onnettomuus ja läheltä piti tilanteita. Saukonpaadenrannan autoilijoilla huono näkymävyys sillalle.",Kadut,Kaupunkiympäristö,City environment,60.1595917,24.9088617,
1ui24b8dug0qe5k7k8h5,2806,2020-01-15T22:41:36+02:00,2020-01-16T14:29:39+02:00,"Hei, Veturitiellä on valtavat lammikot kevyen liikenteen väylällä ja väylää on vaikea kuivin jaloin kulkea. Voisitteko hoitaa vilkkaan väylän kuntoon. Esim ajoradalta voisi ottaa kaistan jalankulkijoille järven kiertotieksi.",Kadut,Kaupunkiympäristö,City environment,60.2018069,24.9298952,
33q6c0hccpp58gqfeo0g,2806,2019-10-04T16:39:52+03:00,2019-10-07T08:20:41+03:00,"Hei, viikkiin päin menevällä kaistalla on todella syvä kuoppa joka voi hajottaa auton ripustukset/renkaat",Kadut,Kaupunkiympäristö,City environment,60.2293972,25.0128489,
19r50e7s7f3dh3ts053t,2806,2020-02-05T10:02:07+02:00,2020-02-12T10:05:02+02:00,"Hei, voisiko kaupunki suorittaa Aleksis kiven kadulla toimenpiteitä katupölyn leviämisen estämiseksi. Kadulla on vilkas liikenne ja katupölyä paljon. Teollisuuskadulle olikin levitetty liuosta pölyn  hillitsemiseksi, kiitos siitä.",Kadut,Kaupunkiympäristö,City environment,60.1918788,24.9462115,
25n5cf13d03rbae74d4g,2806,2019-08-24T10:36:33+03:00,2019-08-26T15:45:55+03:00,"Hei. Asumme Ramsinniementien varrella ja toivoisimme tielle hidasteita koska autot ajavat tiellä huomattavaa ylinopeutta varsinkin hotelli asiakkaat ja taksit. Alueella asuu paljon pieniä lapsia. ",Kadut,Kaupunkiympäristö,City environment,60.1972623,25.1133998,https://asiointi.hel.fi/palautews/rest/v1/attachment/29bsi6f6pjc1p82drpaq.jpg
